details_id,Company,Level,Total_Applicants,Industry,Class,Job_skills 
dt_194,Tata Consultancy Services,Associate,100,IT Services and IT Consulting ,Class2,SAP Successfactors
dt_195,Lockton,Mid-Senior level,100,IT Services and IT Consulting ,Class3,Commerce
dt_196,Teach For India,Mid-Senior level,100,IT Services and IT Consulting ,Class3,End-to-End Project Management
dt_197,BlackRock,Mid-Senior level,91,IT Services and IT Consulting ,Class2,Project Communications
dt_198,Shell,Mid-Senior level,100,Staffing and Recruiting ,Class4,Creative Problem Solving
dt_199,GE Vernova,Mid-Senior level,2,Banking ,Class2,Relays
dt_200,Tata Consultancy Services,Mid-Senior level,100,IT Services and IT Consulting ,Class2,VMware
dt_201,Airtel Digital,Mid-Senior level,29,Business Consulting and Services ,Class4,Unix
dt_202,Ecolab Digital Center,Mid-Senior level,100,Maritime Transportation ,Class1,SQL
dt_203,Tata Consultancy Services,Associate,100,IT Services and IT Consulting ,Class2,Microsoft Power BI
dt_204,Infor,Associate,32,Retail ,Class4,Sales
dt_205,LTIMindtree,Mid-Senior level,100,Airlines and Aviation ,Class2,Microsoft Azure
dt_206,Applicantz,Mid-Senior level,68,Online Audio and Video Media ,Class1,Python (Programming Language)
dt_207,S&P Global,Mid-Senior level,49,IT Services and IT Consulting ,Class3,Quality Assurance
dt_208,Tata Consultancy Services,Associate,100,IT Services and IT Consulting ,Class2,Linux
dt_209,Ami Lifesciences Pvt. Ltd.,Mid-Senior level,75,IT Services and IT Consulting ,Class2,Data Analysis
dt_210,Alp Consulting Ltd.,Mid-Senior level,11,Financial Services ,Class2,Core Java
dt_211,Wipro,Associate,100,IT Services and IT Consulting ,Class2,Financial Accounting
dt_212,Urban Company,Mid-Senior level,82,IT Services and IT Consulting ,Class2,Procurement
dt_213,HTC Global Services,Mid-Senior level,100,"Technology, Information and Internet ",Class5,Python (Programming Language)
dt_214,Advarra,Entry level,24,IT Services and IT Consulting ,Class2,Cell Biology
dt_215,Housr,Entry level,100,Telecommunications ,Class2,Writing
dt_216,Infosys,Entry level,100,Telecommunications ,Class2,Selenium
dt_217,Novo Nordisk,Mid-Senior level,43,IT Services and IT Consulting ,Class3,Office Administration
dt_218,Marsh McLennan,Mid-Senior level,100,Banking ,Class2,Java
dt_219,PTC,Mid-Senior level,57,Wholesale Building Materials ,Class2,Debugging Code
dt_220,HCLTech,Associate,100,IT Services and IT Consulting ,Class2,Banking
dt_221,LTIMindtree,Mid-Senior level,80,Airlines and Aviation ,Class2,Software Updates
dt_222,Happiest Minds Technologies,Director,55,Motor Vehicle Manufacturing ,Class2,Leadership
dt_223,WNS,Internship,13,Telecommunications ,Class5,Windows Desktop Administration
dt_224,Goldman Sachs,Mid-Senior level,0,"Technology, Information and Internet ",Class4,Python (Programming Language)
dt_225,EMotorad,Associate,82,Retail ,Class2,General Administration
